-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  33.8272   Longitude 102.137 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3706.74 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF        MERRA-2 Profile Soil Moisture (1) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WS2M_RANGE      MERRA-2 Wind Speed at 2 Meters Range (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,1981,1.77,2.14,2.81,3.85,5.0,8.0,9.89,9.64,6.47,4.58,2.5,1.71,4.88
QV2M,1982,1.77,1.95,2.87,3.17,4.82,6.35,8.12,7.08,6.59,4.03,2.26,1.34,4.21
QV2M,1983,1.16,1.16,2.08,2.69,4.7,6.29,8.42,6.47,5.8,4.76,2.2,1.46,3.97
QV2M,1984,1.28,1.65,1.95,3.11,4.27,6.29,8.12,6.47,5.8,4.09,2.26,1.53,3.91
QV2M,1985,1.28,1.28,2.26,2.44,4.64,6.16,6.84,8.18,6.29,4.27,1.83,1.4,3.91
QV2M,1986,1.22,1.46,2.2,3.11,4.88,6.96,7.26,6.47,5.19,3.42,2.2,1.65,3.85
QV2M,1987,1.22,1.77,2.2,2.87,4.52,7.57,8.18,6.71,5.62,3.72,2.26,1.34,4.03
QV2M,1988,1.4,1.83,2.38,2.69,4.94,6.53,8.36,7.93,6.1,4.94,2.38,1.65,4.27
QV2M,1989,1.34,1.89,2.32,3.42,4.64,7.32,9.28,8.36,7.02,4.39,2.44,1.65,4.52
QV2M,1990,1.4,2.08,2.44,3.11,4.09,5.74,8.0,7.32,6.04,4.03,2.32,1.46,4.03
QV2M,1991,1.4,1.71,2.32,3.05,4.94,7.02,8.36,7.39,5.37,4.15,2.08,1.53,4.15
QV2M,1992,1.16,1.4,2.62,2.81,4.88,6.47,7.57,7.32,6.47,3.66,1.77,1.34,3.97
QV2M,1993,1.4,2.01,2.5,2.81,4.21,6.04,7.87,7.57,5.19,3.6,2.01,1.4,3.91
QV2M,1994,1.46,1.65,1.89,3.23,4.39,6.65,7.02,7.39,6.77,3.6,2.32,1.34,3.97
QV2M,1995,1.28,1.53,2.01,3.05,4.64,6.23,7.51,7.51,6.29,4.15,2.32,1.46,4.03
QV2M,1996,1.22,1.65,2.26,3.05,4.88,5.98,8.18,7.14,5.62,3.85,2.08,1.16,3.91
QV2M,1997,1.22,1.59,2.62,2.69,4.94,6.16,7.87,7.81,4.94,3.85,2.26,1.4,3.97
QV2M,1998,1.28,1.95,2.32,3.17,5.0,7.2,8.79,8.18,6.35,4.33,2.38,1.46,4.39
QV2M,1999,1.46,1.83,2.44,3.48,4.46,7.87,8.79,8.18,6.23,4.64,2.62,1.4,4.46
QV2M,2000,1.46,1.65,2.32,2.87,4.21,6.96,8.0,7.32,6.29,4.09,2.44,1.59,4.09
QV2M,2001,1.28,1.77,2.14,3.17,4.09,5.92,7.87,7.51,7.63,4.46,2.44,1.65,4.15
QV2M,2002,1.4,1.95,2.26,3.66,4.39,7.39,8.54,6.77,6.16,3.17,1.95,1.46,4.09
QV2M,2003,1.28,1.89,2.26,3.11,5.0,6.41,8.54,9.22,6.71,4.64,2.87,1.89,4.52
QV2M,2004,1.53,1.65,2.56,3.36,4.58,6.84,7.75,8.67,6.77,4.09,2.32,1.83,4.33
QV2M,2005,1.71,1.95,2.69,3.3,5.37,7.14,9.52,9.09,7.45,4.58,2.62,1.59,4.76
QV2M,2006,1.83,2.26,2.32,3.05,4.15,6.84,9.7,8.67,6.84,3.97,2.5,1.59,4.52
QV2M,2007,1.34,1.89,2.44,2.87,4.76,6.71,8.73,9.52,6.47,5.13,2.44,1.77,4.52
QV2M,2008,1.89,1.59,2.38,3.17,4.46,6.1,8.3,7.81,7.32,4.27,2.62,1.65,4.27
QV2M,2009,1.53,2.01,2.56,3.72,5.25,7.45,9.77,8.36,7.87,4.27,2.56,1.53,4.76
QV2M,2010,1.46,1.89,2.26,2.75,5.13,7.57,10.5,9.22,7.08,4.09,2.2,1.28,4.64
QV2M,2011,1.28,1.89,2.08,3.54,4.52,7.26,8.67,8.12,7.39,4.27,2.87,1.89,4.52
QV2M,2012,1.65,2.14,2.5,3.3,5.62,7.51,10.01,9.52,6.35,4.58,2.32,1.46,4.76
QV2M,2013,1.59,2.2,2.38,3.36,5.13,7.63,10.07,8.73,6.29,3.97,2.26,1.53,4.58
QV2M,2014,1.46,2.01,2.75,3.6,4.76,7.32,8.79,8.36,7.32,4.33,2.69,1.59,4.58
QV2M,2015,1.59,1.83,2.69,3.11,4.82,7.51,7.08,7.39,7.39,4.15,2.69,1.53,4.33
QV2M,2016,1.16,1.46,2.26,3.48,5.25,6.77,8.73,10.01,6.53,4.7,2.81,2.01,4.64
QV2M,2017,1.83,2.01,2.44,3.6,4.52,6.96,8.61,9.58,7.63,5.31,2.87,2.01,4.82
QV2M,2018,1.65,1.77,2.75,3.54,5.86,8.36,10.31,10.38,7.57,4.15,2.69,1.71,5.07
QV2M,2019,1.77,2.38,2.69,3.91,5.43,8.24,8.61,8.97,7.2,5.0,3.11,1.53,4.88
QV2M,2020,1.89,1.83,2.93,3.48,4.94,8.18,9.7,9.22,7.81,5.43,3.36,1.89,5.07
RH2M,1981,64.25,59.5,64.0,67.5,66.81,77.31,81.38,83.88,82.25,77.19,71.5,72.12,72.38
RH2M,1982,65.12,68.75,61.56,60.19,63.31,70.56,74.12,65.44,78.69,65.62,58.5,58.94,65.88
RH2M,1983,58.44,53.31,55.81,50.06,57.12,67.62,77.69,62.88,67.44,73.19,57.5,59.12,61.75
RH2M,1984,58.69,49.56,44.62,49.62,58.06,62.0,76.25,64.25,72.12,69.06,57.19,54.88,59.75
RH2M,1985,55.12,49.06,50.31,41.88,56.62,64.81,65.25,71.88,75.38,66.62,56.69,57.12,59.31
RH2M,1986,54.19,50.62,49.56,55.38,58.56,68.06,66.88,64.38,69.19,61.12,55.38,56.19,59.19
RH2M,1987,49.31,51.19,45.44,49.44,59.38,70.25,74.88,68.12,69.19,59.06,51.5,52.19,58.38
RH2M,1988,52.25,50.75,53.25,48.31,59.06,63.56,70.31,72.25,73.75,76.19,62.81,53.44,61.38
RH2M,1989,58.62,65.0,54.81,64.06,62.88,71.25,78.62,77.81,76.94,69.06,61.5,60.94,66.81
RH2M,1990,53.94,60.75,56.56,54.31,57.06,60.31,68.69,67.12,72.31,67.31,52.44,47.19,59.81
RH2M,1991,57.31,50.38,48.0,53.56,59.12,65.75,70.56,67.12,65.31,68.0,55.0,54.12,59.56
RH2M,1992,50.5,55.81,58.62,46.25,61.19,65.25,71.56,66.62,71.06,64.75,51.81,53.88,59.81
RH2M,1993,60.81,55.56,52.88,46.25,57.38,61.94,69.44,72.94,64.25,62.5,47.38,49.06,58.44
RH2M,1994,54.12,50.44,47.69,52.06,54.56,65.38,61.88,62.0,71.06,63.06,52.56,50.44,57.12
RH2M,1995,54.5,55.12,46.31,55.38,51.88,61.25,63.38,70.19,66.25,66.62,55.75,55.12,58.5
RH2M,1996,51.69,51.12,46.69,51.19,60.44,61.19,70.06,59.62,67.31,63.88,51.38,45.19,56.69
RH2M,1997,49.75,58.5,54.94,49.0,62.19,63.88,70.12,69.44,64.81,70.06,54.5,55.75,60.25
RH2M,1998,51.88,55.5,50.62,46.0,57.12,66.38,77.88,77.69,68.94,70.62,54.5,54.31,61.0
RH2M,1999,54.56,45.88,50.5,52.5,58.5,72.19,77.56,72.5,66.0,73.06,57.75,58.0,61.69
RH2M,2000,56.69,58.5,56.06,53.06,52.5,66.31,64.5,70.5,73.88,64.56,60.94,58.94,61.38
RH2M,2001,52.88,54.19,49.06,53.44,58.5,62.5,62.44,70.19,77.31,68.25,60.12,59.5,60.75
RH2M,2002,56.75,50.19,49.19,51.69,60.69,66.19,69.62,62.5,69.25,54.31,51.69,49.62,57.69
RH2M,2003,50.25,51.75,48.56,48.12,62.25,63.94,72.38,80.5,74.19,72.25,62.56,63.69,62.62
RH2M,2004,60.81,54.56,52.81,52.25,59.75,67.5,71.88,77.12,76.94,70.69,61.69,61.31,64.0
RH2M,2005,61.44,58.38,58.81,55.69,65.19,71.25,78.75,78.69,76.5,75.0,68.62,57.44,67.19
RH2M,2006,56.06,61.06,51.75,52.88,53.19,66.5,72.06,69.81,71.62,65.0,60.81,58.56,61.62
RH2M,2007,60.38,55.0,51.81,49.25,53.38,69.25,77.94,77.62,71.5,74.12,59.38,57.38,63.19
RH2M,2008,59.31,65.06,53.12,51.69,53.94,62.75,72.94,73.38,74.69,70.56,65.88,59.25,63.56
RH2M,2009,56.94,51.19,56.19,57.69,63.88,72.12,79.62,77.25,76.44,71.75,61.94,54.44,65.06
RH2M,2010,51.31,52.0,47.31,46.69,61.56,75.38,81.38,77.38,75.88,67.75,57.12,50.94,62.12
RH2M,2011,59.25,49.38,53.12,59.94,57.38,68.75,78.56,70.0,80.69,69.62,67.31,68.25,65.25
RH2M,2012,69.0,60.69,60.31,55.88,65.62,74.0,83.56,81.5,73.75,75.88,60.5,55.69,68.12
RH2M,2013,61.5,53.0,46.69,53.38,64.75,65.5,80.06,70.44,74.38,64.25,57.19,59.69,62.62
RH2M,2014,52.94,57.94,58.56,57.12,58.56,72.06,71.19,75.69,76.0,67.94,61.81,59.31,64.12
RH2M,2015,56.88,50.94,51.75,52.25,57.81,68.5,66.06,69.75,76.38,62.75,54.38,56.75,60.38
RH2M,2016,52.31,48.0,46.69,54.06,62.62,64.5,68.75,73.0,78.38,71.12,60.69,58.94,61.62
RH2M,2017,60.44,57.56,57.25,59.25,59.25,71.44,67.12,75.12,80.62,79.12,65.81,61.31,66.25
RH2M,2018,57.75,58.69,56.38,55.44,66.88,75.56,81.62,82.75,79.25,73.94,72.25,63.38,68.75
RH2M,2019,61.88,63.5,63.75,57.25,67.75,73.88,77.19,78.0,77.94,76.25,67.56,62.88,69.06
RH2M,2020,67.94,59.44,62.12,63.25,64.56,77.19,82.62,78.62,82.75,80.75,71.31,68.44,71.62
T2M_MAX,1981,3.48,5.8,10.8,14.31,19.15,20.13,20.05,19.96,16.88,14.19,5.15,3.82,20.13
T2M_MAX,1982,5.99,5.44,13.08,15.24,19.08,18.58,20.34,21.39,20.98,13.94,10.62,3.69,21.39
T2M_MAX,1983,4.04,1.49,10.65,14.96,21.56,20.77,20.03,20.19,19.85,17.3,9.4,3.59,21.56
T2M_MAX,1984,2.55,7.61,13.16,17.98,18.0,25.02,18.76,19.54,17.6,18.01,9.62,5.17,25.02
T2M_MAX,1985,3.63,6.65,13.92,16.44,21.38,20.08,20.7,24.7,17.89,16.8,5.66,5.26,24.7
T2M_MAX,1986,3.58,6.7,11.3,17.3,21.8,21.76,21.26,22.8,16.81,12.33,7.58,5.74,22.8
T2M_MAX,1987,4.71,8.46,12.46,20.14,23.4,22.67,18.21,18.84,19.27,17.41,10.63,8.59,23.4
T2M_MAX,1988,5.18,8.75,15.57,16.66,23.48,24.08,22.16,22.26,17.78,17.41,6.55,5.97,24.08
T2M_MAX,1989,4.23,7.95,10.34,14.14,21.11,21.84,21.55,20.67,18.72,16.7,8.65,4.98,21.84
T2M_MAX,1990,4.74,7.9,15.07,15.73,19.9,21.05,22.63,22.42,19.86,13.89,10.27,6.08,22.63
T2M_MAX,1991,7.53,9.42,15.8,17.14,23.93,24.58,21.97,21.9,21.34,19.8,6.69,6.23,24.58
T2M_MAX,1992,7.14,5.35,12.08,21.12,18.84,22.67,20.33,22.99,23.29,17.24,9.94,5.35,23.29
T2M_MAX,1993,2.83,6.51,11.87,18.97,21.86,23.19,24.04,20.39,19.44,18.51,9.44,8.43,24.04
T2M_MAX,1994,6.3,9.06,8.0,19.81,19.48,21.18,22.62,25.08,23.72,18.58,9.35,6.6,25.08
T2M_MAX,1995,5.51,3.06,15.88,16.19,24.15,21.25,25.0,21.89,22.81,13.71,9.13,5.55,25.0
T2M_MAX,1996,4.01,8.13,13.21,16.53,20.44,21.85,21.01,25.4,19.1,17.26,11.17,3.92,25.4
T2M_MAX,1997,3.01,6.37,12.41,14.77,18.7,20.62,22.12,24.16,20.73,13.34,7.3,3.27,24.16
T2M_MAX,1998,4.28,8.42,11.47,23.05,22.98,24.36,21.89,18.66,20.55,14.6,10.52,5.05,24.36
T2M_MAX,1999,6.21,11.23,12.56,21.86,17.69,24.15,19.81,21.77,21.3,15.43,9.87,6.4,24.15
T2M_MAX,2000,2.3,4.72,15.7,15.37,21.69,20.94,25.66,20.15,20.61,20.26,10.48,5.9,25.66
T2M_MAX,2001,5.83,8.1,9.28,15.53,18.62,20.66,24.66,24.15,21.63,16.55,11.25,4.4,24.66
T2M_MAX,2002,5.62,9.52,12.04,20.89,20.13,23.5,24.76,23.4,24.43,15.39,8.14,8.98,24.76
T2M_MAX,2003,6.11,11.33,15.05,21.73,19.62,20.63,21.51,21.01,18.08,15.85,10.19,6.74,21.73
T2M_MAX,2004,2.87,6.8,14.1,18.76,19.27,21.4,21.04,20.51,18.4,12.79,6.65,5.87,21.4
T2M_MAX,2005,5.37,7.03,14.97,17.16,21.12,20.27,21.88,20.76,20.38,13.71,7.62,4.2,21.88
T2M_MAX,2006,7.56,10.59,9.64,16.38,21.19,20.15,23.83,24.94,21.32,13.62,8.9,7.63,24.94
T2M_MAX,2007,6.6,6.52,17.62,18.52,21.59,19.03,19.36,20.64,19.83,18.69,7.19,5.83,21.59
T2M_MAX,2008,6.48,7.0,10.41,16.1,22.2,22.04,21.12,21.05,21.87,12.55,10.06,5.4,22.2
T2M_MAX,2009,5.87,10.01,12.92,19.97,21.73,22.61,20.65,19.02,20.75,15.05,9.65,6.79,22.61
T2M_MAX,2010,6.26,8.59,17.26,17.05,22.58,19.19,21.53,21.49,19.9,12.71,5.45,4.87,22.58
T2M_MAX,2011,3.88,7.25,8.83,19.51,21.76,20.7,19.4,22.43,20.34,14.57,7.04,4.02,22.43
T2M_MAX,2012,2.73,7.07,13.15,13.87,23.2,18.9,19.56,20.52,17.68,12.38,7.92,4.41,23.2
T2M_MAX,2013,6.06,9.44,13.01,17.23,24.55,25.72,21.01,22.4,19.65,18.47,8.62,4.73,25.72
T2M_MAX,2014,7.31,6.7,12.23,15.73,19.64,24.52,21.84,20.99,20.08,15.98,10.05,7.6,24.52
T2M_MAX,2015,7.02,10.99,19.21,19.33,21.45,22.73,23.12,24.11,20.63,15.88,11.94,6.7,24.11
T2M_MAX,2016,4.68,5.37,11.73,15.55,21.45,23.46,24.85,26.44,16.52,17.97,10.49,8.3,26.44
T2M_MAX,2017,8.12,10.84,12.08,18.03,18.87,19.65,24.51,23.63,16.63,18.33,10.07,8.61,24.51
T2M_MAX,2018,7.76,9.59,13.73,17.52,21.47,19.37,19.9,18.72,18.55,10.62,8.86,4.31,21.47
T2M_MAX,2019,3.7,7.26,9.37,20.83,18.89,20.55,21.33,19.96,18.73,16.77,8.96,2.43,21.33
